gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
5959-7321,LPL,Invictus Gaming,Vici Gaming,Kalista,Olaf,Rumble,Ezreal,Yuumi,Ornn,Trundle,Zoe,MissFortune,Leona
ESPORTSTMNT01/1306323,LJL,V3 Esports,Rascal Jester,Gangplank,LeeSin,Leblanc,Aphelios,Leona,Ornn,Sejuani,Lissandra,Jinx,Nautilus
6465-8544,LDL,Legend Esport Gaming,Royal Club,MonkeyKing,Nidalee,Yasuo,Tristana,Leona,Jax,Kindred,Sett,Varus,Thresh
6427-8407,LDL,Invictus Gaming Young,Legend Esport Gaming,Maokai,Ekko,Jayce,Ezreal,Bard,MonkeyKing,Sylas,Sett,Sivir,Leona
ESPORTSTMNT04/1240399,TRA,SuperMassive Academy,Team AURORA Academy,Aatrox,LeeSin,Azir,Ezreal,Karma,MonkeyKing,Trundle,Corki,Aphelios,Thresh
6151-7710,LDL,Joy Dream,Suning-S,Renekton,Olaf,Sylas,Varus,Thresh,Mordekaiser,JarvanIV,Leblanc,MissFortune,Taric
5984-7380,LPL,JD Gaming,EDward Gaming,Mordekaiser,JarvanIV,Leblanc,Varus,Thresh,Renekton,Sejuani,Azir,MissFortune,Nautilus
6085-7612,LPL,Invictus Gaming,Team WE,Rumble,RekSai,Orianna,Aphelios,Braum,Ornn,Kindred,Syndra,MissFortune,Bard
ESPORTSTMNT01/1435170,LJL,V3 Esports,Rascal Jester,Camille,Sylas,Sett,Kalista,Thresh,Jayce,Volibear,Lulu,Varus,Braum
ESPORTSTMNT01/1301270,CBLOL,KaBuM! e-Sports,INTZ,Renekton,Taliyah,Mordekaiser,Senna,Alistar,Ornn,Gragas,Tristana,Aphelios,Leona
6439-8460,LDL,LGD Gaming Young Team,EDG Youth Team,Ornn,Graves,Galio,Varus,Nautilus,Renekton,Nidalee,Jayce,Jhin,Thresh
ESPORTSTMNT02/1284067,LCS.A,100 Thieves Academy,TSM Academy,Renekton,Sejuani,Azir,MissFortune,Yuumi,Sett,Trundle,Soraka,Varus,Braum
ESPORTSTMNT03/1353560,LCK,SANDBOX Gaming,Seorabeol Gaming,Aatrox,Sejuani,Zoe,Varus,TahmKench,Darius,Elise,Pantheon,MissFortune,Thresh
6383-8257,LDL,All Combo,EDG Youth Team,Renekton,LeeSin,Leblanc,Varus,Nautilus,Gnar,Trundle,Orianna,Ashe,Thresh
ESPORTSTMNT02/1405346,VCS,Team Secret,Team Flash,MonkeyKing,Graves,Zoe,Ashe,Thresh,Camille,LeeSin,Galio,Caitlyn,Lux
ESPORTSTMNT06/1210010,EM,Defusekids,Vodafone Giants.Spain,Gangplank,Sejuani,Akali,Aphelios,Nautilus,Sion,JarvanIV,Kassadin,Kalista,Thresh
6402-8320,LDL,FunPlus Phoenix Blaze,LGD Gaming Young Team,Darius,LeeSin,Rumble,Aphelios,Nautilus,Mordekaiser,Graves,Galio,Ashe,Alistar
ESPORTSTMNT01/1434695,LCS,Team Liquid,FlyQuest,Kennen,Volibear,Zoe,Ezreal,Bard,Renekton,Sett,Orianna,Ashe,Rakan
6349-8137,LDL,V5 87,Bilibili Gaming Junior,Ornn,Trundle,Viktor,MonkeyKing,Senna,Kayle,Nidalee,Pantheon,Aphelios,Taric
ESPORTSTMNT02/1297422,CK,OZ Gaming,Asura,Sett,Zac,Syndra,Ezreal,Yuumi,Mordekaiser,Sejuani,Sylas,MissFortune,Volibear
ESPORTSTMNT02/1324518,CK,Asura,Seorabeol Gaming,Mordekaiser,Gragas,Yasuo,Varus,Thresh,Darius,JarvanIV,Syndra,Kalista,Nautilus
ESPORTSTMNT05/1520223,TCL,Royal Youth,Beşiktaş Esports,Gangplank,LeeSin,Azir,Ezreal,Karma,Fiora,Volibear,Ekko,Kaisa,Sona
ESPORTSTMNT03/1414844,BRCC,Falkol,Redemption eSports Porto Alegre,Ornn,Volibear,Cassiopeia,Ezreal,Bard,Jax,Olaf,Galio,Ashe,Braum
ESPORTSTMNT06/1190199,EM,Team GamerLegion,eSuba,MonkeyKing,Gragas,Yasuo,Varus,Thresh,Renekton,Ekko,Sett,Syndra,TahmKench
ESPORTSTMNT01/1325920,LCK,KT Rolster,Afreeca Freecs,Ornn,JarvanIV,Rumble,MissFortune,Yuumi,Jax,Trundle,Ekko,Varus,Braum
ESPORTSTMNT03/1392714,MSC,FunPlus Phoenix,Top Esports,Kayle,Olaf,Galio,Aphelios,Nautilus,Ornn,Graves,Corki,MissFortune,Thresh
ESPORTSTMNT02/1385035,LCS,Team SoloMid,Evil Geniuses,Shen,Kindred,Leblanc,Aphelios,Braum,Volibear,Graves,Karma,Ezreal,Bard
ESPORTSTMNT01/1425832,LFL,IZI Dream,LDLC OL,Renekton,Trundle,Akali,Syndra,Thresh,Sett,Karthus,Ezreal,Jhin,Bard
ESPORTSTMNT02/1271463,VCS,CERBERUS Esports,GAM Esports,Sett,JarvanIV,Cassiopeia,Senna,TahmKench,Renekton,Shyvana,Tristana,Varus,Braum
6166-7755,LDL,Young Miracles,Suning-S,Akali,JarvanIV,Jayce,Aphelios,Thresh,Ornn,Trundle,Zoe,Varus,TahmKench
ESPORTSTMNT03/1331240,LJL,AXIZ,Rascal Jester,Aatrox,JarvanIV,Zoe,Senna,Galio,Gnar,Trundle,Ziggs,Lucian,TahmKench
ESPORTSTMNT03/1341536,LCK,T1,Afreeca Freecs,Lucian,Gragas,Akali,Varus,Alistar,Jayce,Trundle,Syndra,Sivir,Braum
6365-8189,LDL,Royal Club,Victorious Gaming,Renekton,JarvanIV,Ekko,Aphelios,Thresh,Camille,Graves,Syndra,Ezreal,Braum
ESPORTSTMNT01/1421861,PCS,J Team,Hong Kong Attitude,Camille,Trundle,Galio,Ashe,Nautilus,Karma,LeeSin,Sylas,Ezreal,Bard
ESPORTSTMNT03/1441749,LCS.A,Evil Geniuses Academy,TSM Academy,Camille,Nidalee,TwistedFate,Jhin,Nautilus,Jax,Olaf,Leblanc,Senna,Leona
6462-8532,LDL,LGD Gaming Young Team,eStar Young,Ornn,LeeSin,Zoe,Ashe,Karma,Lucian,Ekko,Renekton,Aphelios,Blitzcrank
6463-8538,LDL,LNG Academy,Vici Gaming Potential,Irelia,Graves,Syndra,Ashe,Sett,Gangplank,Nidalee,Fizz,Kalista,Thresh
ESPORTSTMNT03/1341110,CK,Jin Air Green Wings,OZ Gaming,Aatrox,LeeSin,Azir,MissFortune,Galio,Rumble,JarvanIV,Syndra,Varus,Nautilus
6551-8842,LDL,Dominus Esports Young,Rogue Warriors Shark,Renekton,Nidalee,Sylas,Ezreal,Karma,Ornn,Graves,TwistedFate,Caitlyn,Lux
ESPORTSTMNT01/1434814,LJL,V3 Esports,Crest Gaming Act,Mordekaiser,Nidalee,Jayce,Kalista,Thresh,Renekton,Graves,Leblanc,Jhin,Sett
ESPORTSTMNT03/1351964,CK,OZ Gaming,Seorabeol Gaming,Ornn,Olaf,Syndra,Aphelios,Braum,Sylas,Ekko,Pantheon,Varus,Ashe
6237-8039,LPL,Invictus Gaming,LGD Gaming,Gangplank,LeeSin,Lissandra,Aphelios,Thresh,Renekton,Trundle,Karma,Ezreal,Yuumi
6643-8646,LPL,Victory Five,JD Gaming,Renekton,Lillia,Syndra,Senna,Leona,Gnar,Volibear,Ekko,Ashe,Sett
ESPORTSTMNT01/1380282,BRCC,Rensga eSports,unknown team,Camille,Trundle,Ahri,Aphelios,Braum,Poppy,Gragas,Zoe,Varus,Nautilus
ESPORTSTMNT03/1331083,CBLOL,Vivo Keyd,KaBuM! e-Sports,Poppy,Karthus,Syndra,Ezreal,Yuumi,Sett,Elise,Leblanc,Aphelios,Nautilus
ESPORTSTMNT02/1281100,OPL,Pentanet.GG,ORDER,Ornn,Gragas,Syndra,Aphelios,Braum,Aatrox,JarvanIV,Orianna,Ezreal,Karma
ESPORTSTMNT06/1170675,TCL,Papara SuperMassive,Dark Passage,Jayce,Sejuani,Diana,Senna,TahmKench,Pantheon,Gragas,Zoe,Varus,Karma
ESPORTSTMNT03/1323443,CK,Element Mystic,Team Dynamics,Mordekaiser,Sejuani,Sylas,Jinx,Thresh,Aatrox,Gragas,Ornn,MissFortune,Blitzcrank
ESPORTSTMNT01/1401620,CBLOL,Prodigy Esports,KaBuM! e-Sports,Sylas,RekSai,Corki,Senna,Sett,Ornn,LeeSin,Orianna,Aphelios,Yuumi
ESPORTSTMNT06/1170400,LFL,GameWard,Team MCES,Kennen,Gragas,Varus,Lucian,Yuumi,Vladimir,JarvanIV,Cassiopeia,Ezreal,Karma
ESPORTSTMNT02/1334130,CK,Team Dynamics,Element Mystic,Mordekaiser,JarvanIV,Azir,Aphelios,Taric,Aatrox,Gragas,Ekko,MissFortune,Bard
5993-7401,LPL,Vici Gaming,EDward Gaming,Renekton,Ekko,Qiyana,MissFortune,Nautilus,Maokai,Gragas,Sett,Varus,Braum
ESPORTSTMNT02/1413537,LCK,KT Rolster,Hanwha Life Esports,Mordekaiser,Graves,Azir,Caitlyn,Morgana,Gangplank,Volibear,Sylas,Ashe,Bard
ESPORTSTMNT05/1390257,LEC,Fnatic,Misfits Gaming,Aatrox,Gragas,Diana,Aphelios,Braum,Nocturne,LeeSin,Orianna,MissFortune,Leona
ESPORTSTMNT01/1314259,PCS,Machi Esports,Resurgence,Renekton,Sejuani,Syndra,MissFortune,Nautilus,Sett,Gragas,Sylas,Ezreal,Alistar
ESPORTSTMNT01/1413231,OCS,Gravitas Academy,Dire Cubs,Aatrox,Trundle,Corki,Ezreal,Yuumi,Ornn,LeeSin,Zoe,Aphelios,Karma
ESPORTSTMNT02/1401364,PCS,Machi Esports,Liyab Esports,Ornn,Graves,Azir,Ezreal,Leona,Camille,Olaf,TwistedFate,Ashe,Bard
ESPORTSTMNT02/1381823,LCS.A,100 Thieves Academy,Immortals Academy,Renekton,Nidalee,TwistedFate,Ezreal,Sett,Aatrox,Graves,Zoe,Aphelios,Thresh
ESPORTSTMNT06/1310246,EM,Sector One,SAMCLAN Esports Club,Camille,Sejuani,Corki,Ashe,Braum,Jax,Nidalee,Orianna,MissFortune,Karma
6132-7631,LDL,All Combo,Royal Club,Karma,Trundle,Rumble,MissFortune,Thresh,Sett,Olaf,Zoe,Varus,Blitzcrank
ESPORTSTMNT03/1241328,KeSPA,T1,SANDBOX Gaming,Pantheon,Elise,Nautilus,Xayah,Rakan,Quinn,Olaf,Orianna,MissFortune,Leona
ESPORTSTMNT02/1294231,LCK,Hanwha Life Esports,Griffin,Sett,LeeSin,Taliyah,Ezreal,Thresh,Mordekaiser,JarvanIV,Orianna,MissFortune,Taric
ESPORTSTMNT01/1370395,BRCC,RED Canids,Havan Liberty Gaming,Renekton,JarvanIV,Corki,Velkoz,TahmKench,Ornn,LeeSin,Kassadin,Aphelios,Blitzcrank
6046-7473,LPL,Top Esports,Suning,Renekton,LeeSin,Zoe,Aphelios,Nautilus,Mordekaiser,JarvanIV,Syndra,Kalista,Leona
6057-7503,LPL,Oh My God,Vici Gaming,Ornn,Trundle,Azir,Kalista,Nautilus,Renekton,Sejuani,Akali,MissFortune,Braum
6416-8374,LDL,optical spectrum E-sports,Young Miracles,Ornn,Khazix,Ekko,Varus,Braum,Renekton,Sylas,Talon,Aphelios,Leona
ESPORTSTMNT02/1270478,LCS.A,Golden Guardians Academy,100 Thieves Academy,Aatrox,LeeSin,Ryze,Aphelios,Braum,Camille,RekSai,Leblanc,Senna,TahmKench
ESPORTSTMNT04/1240495,TCL,Papara SuperMassive,Team AURORA,Kennen,Olaf,Galio,Kalista,Pantheon,Camille,LeeSin,Corki,Ezreal,Nautilus
ESPORTSTMNT01/1415502,LCK,T1,Hanwha Life Esports,Camille,Nidalee,TwistedFate,Kalista,Blitzcrank,Mordekaiser,Trundle,Syndra,Aphelios,Thresh
ESPORTSTMNT04/1250234,LEC,Team Vitality,Fnatic,Urgot,Sett,Orianna,Ezreal,Braum,Ornn,Khazix,Azir,Senna,Nautilus
ESPORTSTMNT03/1404551,VCS,Saigon Buffalo,CERBERUS Esports,Kayle,RekSai,TwistedFate,Ashe,Braum,Ornn,Graves,Karma,Kalista,Bard
ESPORTSTMNT01/1434277,LCS.A,TSM Academy,Dignitas Academy,Jayce,Graves,Zoe,Aphelios,Braum,Poppy,Khazix,Galio,Ezreal,Bard
6107-7614,LDL,Shu Dai Xiong Gaming,Team WE Academy,Renekton,Taliyah,Ornn,Caitlyn,Morgana,Aatrox,Elise,Azir,Varus,Braum
ESPORTSTMNT03/1440746,OPL,Chiefs Esports Club,Dire Wolves,Sylas,Nidalee,Renekton,Caitlyn,Nautilus,Ornn,Nocturne,Azir,Ashe,Bard
6078-7577,LPL,LNG Esports,Royal Never Give Up,Mordekaiser,Olaf,Azir,Varus,TahmKench,MonkeyKing,Trundle,Corki,MissFortune,Taric
ESPORTSTMNT01/1320583,LFL,GamersOrigin,Vitality.Bee,Ornn,Karthus,Zoe,Aphelios,Braum,Aatrox,Nocturne,Galio,Cassiopeia,Leona
ESPORTSTMNT01/1390428,BRCC,Intergalaxy Tigers Gaming,Rensga eSports,Camille,LeeSin,Leblanc,Senna,Maokai,Sett,Graves,Lissandra,Ziggs,Nautilus
ESPORTSTMNT03/1432127,LLA,Rainbow7,Isurus,Maokai,Sett,Vayne,Sona,Lux,Renekton,Gragas,Galio,Lucian,Blitzcrank
ESPORTSTMNT02/1295618,LFL,LDLC OL,GameWard,Aatrox,Olaf,Sylas,Sivir,Yuumi,Camille,Gragas,Qiyana,Kaisa,Nautilus
ESPORTSTMNT01/1424241,OPL,Avant Gaming,MAMMOTH,Kennen,Volibear,Orianna,Aphelios,Nautilus,Sylas,Trundle,Rumble,Ezreal,Thresh
6516-8726,LDL,Rogue Warriors Shark,JingNetGame,Volibear,Trundle,Lissandra,Ezreal,Bard,Mordekaiser,Sett,Leblanc,Aphelios,Alistar
ESPORTSTMNT01/1321040,VCS,CERBERUS Esports,Team Secret,Renekton,RekSai,Zoe,MissFortune,Thresh,Maokai,Shyvana,Irelia,Syndra,Nautilus
6595-8290,LPL,LGD Gaming,JD Gaming,Gnar,Trundle,Leblanc,Aphelios,Nautilus,Volibear,Kindred,Syndra,Ashe,Thresh
6390-8276,LDL,FunPlus Phoenix Blaze,Rogue Warriors Shark,Renekton,Kindred,Rumble,Aphelios,Alistar,Ornn,LeeSin,Leblanc,Ashe,Rakan
6459-8526,LDL,JingNetGame,Victorious Gaming,MonkeyKing,Graves,Rumble,Aphelios,Bard,Singed,Kindred,Orianna,Ashe,Thresh
ESPORTSTMNT03/1442588,CK,OZ Gaming,Awesome Spear,Karma,LeeSin,Velkoz,Ashe,Nautilus,Irelia,Nidalee,Orianna,Caitlyn,Blitzcrank
6172-7777,LDL,Victorious Gaming,Royal Club,Aatrox,MonkeyKing,Azir,Kalista,Fiddlesticks,Camille,Sylas,Cassiopeia,MissFortune,Thresh
6418-8384,LDL,LNG Academy,WanZhen Esports Club,MonkeyKing,Graves,Galio,Ashe,Sett,Kennen,LeeSin,Syndra,Aphelios,Nautilus
ESPORTSTMNT05/1540396,TRA,Team AURORA Academy,İstanbul Wildcats Academy,Renekton,Urgot,Azir,Caitlyn,Nautilus,Camille,Volibear,Syndra,Jhin,Leona
ESPORTSTMNT02/1334097,CK,Jin Air Green Wings,Spear Gaming,Mordekaiser,Trundle,Zoe,Aphelios,Nautilus,Gangplank,Elise,Pantheon,Varus,TahmKench
ESPORTSTMNT04/1250222,TCL,Galatasaray Esports,Team AURORA,Jayce,Trundle,Orianna,Ezreal,Braum,Ornn,Nidalee,Azir,Ashe,Thresh
ESPORTSTMNT01/1294233,LJL,DetonatioN FocusMe,V3 Esports,Gangplank,JarvanIV,Heimerdinger,Aphelios,Galio,Aatrox,Diana,Cassiopeia,MissFortune,Leona
ESPORTSTMNT05/1440414,LEC,G2 Esports,MAD Lions,Sett,JarvanIV,Rumble,Syndra,Rakan,Maokai,Kindred,Ornn,Aphelios,TahmKench
ESPORTSTMNT01/1390430,BRCC,Intergalaxy Tigers Gaming,Rensga eSports,Renekton,Olaf,Leblanc,MissFortune,Yuumi,Sett,JarvanIV,Orianna,Aphelios,Lulu
ESPORTSTMNT06/1310651,EM,7more7 Pompa Team,Misfits Premier,Poppy,Graves,Azir,Ashe,Nautilus,Renekton,Nidalee,Syndra,Kalista,Leona
6266-7843,LDL,All Combo,Legend Esport Gaming,MonkeyKing,Taliyah,Pantheon,Xayah,Nautilus,Mordekaiser,Nidalee,Renekton,Kalista,Thresh
ESPORTSTMNT05/1520078,TRA,1907 Fenerbahçe Academy,5 Ronin Academy,Volibear,Gragas,Syndra,Kaisa,Lulu,MonkeyKing,Graves,Ekko,Ezreal,Yuumi
ESPORTSTMNT03/1342220,LCK,KT Rolster,DAMWON Gaming,Aatrox,Sejuani,Leblanc,Kalista,Taric,Jayce,Sylas,Corki,KogMaw,Thresh
6129-7768,LPL,JD Gaming,FunPlus Phoenix,Gangplank,Graves,Corki,Varus,Thresh,Mordekaiser,LeeSin,Kassadin,Kalista,Nautilus
6212-7855,LPL,eStar,Dominus Esports,MonkeyKing,Graves,Kassadin,Aphelios,Thresh,Ornn,Trundle,Azir,Senna,Sett
ESPORTSTMNT02/1411702,LLA,Pixel Esports Club,Azules Esports,Kennen,Gragas,Tristana,Senna,Braum,Ornn,Khazix,Leblanc,Kalista,Nautilus
ESPORTSTMNT03/1414873,BRCC,Havan Liberty Gaming,Rensga eSports,MonkeyKing,Graves,Zoe,Ashe,TahmKench,Mordekaiser,LeeSin,TwistedFate,Kalista,Thresh
ESPORTSTMNT06/1300303,TRA,1907 Fenerbahçe Academy,İstanbul Wildcats Academy,Karma,Sejuani,Syndra,Aphelios,Lulu,Irelia,MonkeyKing,Orianna,Ezreal,TahmKench
6273-7870,LDL,Young Miracles,Dominus Esports Young,Renekton,Trundle,Syndra,Kalista,Karma,Mordekaiser,Graves,Leblanc,Senna,TahmKench
ESPORTSTMNT03/1401931,CBLOL,paiN Gaming,Santos e-Sports,Sett,Volibear,Zoe,Ezreal,Leona,Fiora,Pantheon,Velkoz,MissFortune,Nautilus
ESPORTSTMNT06/1180330,EM,Electronik Generation,Racoon,Gangplank,JarvanIV,Rumble,Aphelios,Blitzcrank,Sett,Ekko,Renekton,Ziggs,Thresh
ESPORTSTMNT06/1320239,EM,Intrepid Fox Gaming,Five Kings,Malphite,RekSai,Cassiopeia,Ezreal,Thresh,Poppy,Evelynn,Veigar,Senna,Leona
ESPORTSTMNT06/1190497,TCL,Beşiktaş Esports,5 Ronin,Sett,Sejuani,Azir,Ezreal,Thresh,Mordekaiser,JarvanIV,Zoe,Varus,Nautilus
ESPORTSTMNT01/1293950,LCK,KT Rolster,DRX,Renekton,Elise,Zoe,MissFortune,Leona,Quinn,LeeSin,Cassiopeia,Aphelios,Alistar
ESPORTSTMNT01/1325229,LCK,Gen.G,DAMWON Gaming,Sett,JarvanIV,Azir,Ezreal,TahmKench,Kalista,Elise,Pantheon,MissFortune,Janna
ESPORTSTMNT02/1392268,LLA,Isurus,Pixel Esports Club,Aatrox,LeeSin,Syndra,Kalista,Thresh,Ornn,JarvanIV,Corki,Aphelios,Bard
ESPORTSTMNT06/1310177,EM,CR4ZY,LowLandLions,Sett,Sejuani,Akali,Senna,Bard,Gragas,LeeSin,Azir,Ezreal,Blitzcrank
ESPORTSTMNT03/1351817,CK,Seorabeol Gaming,hyFresh Blade,Aatrox,Trundle,Syndra,MissFortune,Sett,Jayce,Gragas,Zoe,Varus,TahmKench
ESPORTSTMNT03/1380735,OCS,ORDER Academy,Gravitas Academy,Camille,Zac,Lissandra,MissFortune,Sett,Fiora,Trundle,Corki,Varus,Janna
6412-8354,LDL,WanZhen Esports Club,JingNetGame,Kennen,Nidalee,Jayce,Ashe,Karma,Poppy,Graves,Zoe,Aphelios,Bard
ESPORTSTMNT02/1321647,LCS,Team Liquid,Cloud9,Aatrox,Elise,Ornn,Ashe,Braum,Renekton,Olaf,Rumble,Varus,TahmKench
ESPORTSTMNT03/1441095,LCS,Evil Geniuses,100 Thieves,Ornn,Graves,Orianna,Xayah,Rakan,Renekton,Nidalee,TwistedFate,Ashe,TahmKench
6071-7559,LPL,LGD Gaming,Oh My God,Maokai,LeeSin,Azir,Senna,Nautilus,Ornn,Olaf,Leblanc,Varus,TahmKench
ESPORTSTMNT02/1287286,LCK,Griffin,DRX,Aatrox,LeeSin,Syndra,Senna,TahmKench,Kennen,Sejuani,Sett,Varus,Yuumi
6157-7726,LDL,Legend Esport Gaming,Bilibili Gaming Junior,MonkeyKing,Graves,Karma,Ezreal,Pyke,Kennen,JarvanIV,Galio,Varus,Thresh
ESPORTSTMNT01/1433923,LCK,KT Rolster,DRX,Kennen,Olaf,Karma,Aphelios,Blitzcrank,Jayce,Trundle,Azir,Ezreal,Bard
6553-8844,LDL,All Combo,V5 87,Mordekaiser,Graves,Leblanc,Xayah,Bard,Fiora,Volibear,Syndra,Jhin,Galio
ESPORTSTMNT02/1324528,LCK,Afreeca Freecs,Griffin,Rumble,JarvanIV,Galio,Kalista,Alistar,Jayce,RekSai,Zoe,Varus,Nautilus
ESPORTSTMNT03/1432222,LJL,DetonatioN FocusMe,Crest Gaming Act,Gnar,Olaf,Neeko,Caitlyn,Lux,Camille,Trundle,Zoe,Jhin,Thresh
ESPORTSTMNT01/1422169,LLA,Pixel Esports Club,Isurus,Jayce,Sett,TwistedFate,Varus,Lulu,Malphite,Khazix,Galio,Kaisa,Bard
6556-8857,LDL,Team WE Academy,Royal Club,Renekton,Trundle,Leblanc,Jhin,TahmKench,Mordekaiser,Volibear,Syndra,Ashe,Bard
6605-8364,LPL,Rogue Warriors,LGD Gaming,MonkeyKing,Graves,Galio,Ashe,Braum,Kennen,LeeSin,TwistedFate,Jhin,Nautilus
ESPORTSTMNT02/1403232,OCS,Pentanet.GG Rise,QUT Tigers,Shen,Volibear,Kassadin,Senna,Leona,Mordekaiser,Graves,TwistedFate,Xayah,Rakan
ESPORTSTMNT04/1230797,LEC,Fnatic,Team Vitality,Sett,LeeSin,Corki,Syndra,Blitzcrank,Renekton,JarvanIV,Azir,Aphelios,Thresh
5999-7417,LPL,FunPlus Phoenix,Bilibili Gaming,Mordekaiser,LeeSin,Sylas,Aphelios,Rakan,Fiora,Elise,Irelia,Ezreal,Alistar
ESPORTSTMNT06/1180501,LCL,Unicorns Of Love.CIS,RoX,Aatrox,RekSai,Corki,MissFortune,Taric,Maokai,LeeSin,Akali,Ezreal,Nautilus
ESPORTSTMNT03/1441931,LCK,Gen.G,Afreeca Freecs,Renekton,Nidalee,Orianna,Senna,Sett,Quinn,Volibear,Zoe,Ashe,Bard
ESPORTSTMNT01/1302531,BRCC,Falkol,Santos e-Sports,Renekton,Taliyah,Zoe,Aphelios,Braum,Kled,JarvanIV,Velkoz,MissFortune,Leona
6241-8068,LPL,FunPlus Phoenix,Invictus Gaming,Ornn,Trundle,Rumble,Aphelios,Thresh,Sylas,Graves,Orianna,Ezreal,Nautilus
ESPORTSTMNT02/1381725,VCS,Percent Esports,Team Flash,MonkeyKing,Trundle,Syndra,Ezreal,Leona,Renekton,Graves,Nautilus,Kaisa,Sett
ESPORTSTMNT02/1321493,PCS,Talon Esports,Berjaya Dragons,Ornn,RekSai,Rumble,Aphelios,TahmKench,Mordekaiser,JarvanIV,Renekton,Syndra,Nautilus
ESPORTSTMNT03/1440917,PCS,J Team,Machi Esports,Renekton,Graves,Orianna,Jhin,Nautilus,Volibear,LeeSin,Azir,Ashe,Leona
ESPORTSTMNT04/1230195,TCL,Royal Youth,5 Ronin,Renekton,Sylas,Azir,Aphelios,Nautilus,Mordekaiser,Trundle,Corki,Ezreal,Yuumi
ESPORTSTMNT03/1413898,VCS,GAM Esports,Team Flash,Jayce,LeeSin,Neeko,Kalista,Sett,Volibear,Nidalee,Ryze,Ezreal,Pantheon
ESPORTSTMNT01/1390082,CBLOL,Flamengo Esports,KaBuM! e-Sports,Ornn,Graves,Syndra,Xayah,Lulu,Jayce,Trundle,Karma,MissFortune,Yuumi
6522-8745,LDL,Top Esports Challenger,Shu Dai Xiong Gaming,Sion,Karthus,Sett,Kaisa,Pyke,Sylas,Volibear,Azir,Ezreal,Yuumi
ESPORTSTMNT01/1436394,LCK,SANDBOX Gaming,Team Dynamics,Kennen,LeeSin,TwistedFate,Aphelios,Nautilus,Akali,Trundle,Sylas,Ashe,Pantheon
ESPORTSTMNT03/1333724,OPL,ORDER,Avant Gaming,Ornn,Elise,Zoe,Kaisa,Morgana,Sett,JarvanIV,Leblanc,MissFortune,Nautilus
ESPORTSTMNT02/1292611,LCK,Gen.G,Hanwha Life Esports,Ornn,JarvanIV,Zoe,Ezreal,Rumble,Mordekaiser,Karthus,Pantheon,MissFortune,Braum
ESPORTSTMNT03/1323037,LCK,Gen.G,SANDBOX Gaming,Ornn,Sejuani,Sett,Kaisa,Bard,Sylas,Trundle,Rumble,MissFortune,Braum
ESPORTSTMNT02/1401574,LCS,Evil Geniuses,Team SoloMid,Kennen,Graves,Zoe,Ashe,Senna,Malphite,Volibear,Zilean,Caitlyn,Morgana
ESPORTSTMNT01/1315580,VCS,Team Secret,GAM Esports,Irelia,Olaf,Syndra,MissFortune,Volibear,Kled,Elise,Jayce,Lucian,Yuumi
ESPORTSTMNT02/1283791,VCS,EVOS Esports,FTV Esports,Mordekaiser,LeeSin,Syndra,MissFortune,Thresh,Gangplank,Khazix,Rumble,Lucian,Braum
ESPORTSTMNT01/1436290,LCK,T1,KT Rolster,Vladimir,Volibear,Zoe,Xayah,Rakan,Kennen,Olaf,Orianna,Ashe,Lux
ESPORTSTMNT01/1425144,LCS,Cloud9,Team Liquid,Shen,Hecarim,Sett,Sona,Lux,Mordekaiser,Trundle,Syndra,Ezreal,Blitzcrank
ESPORTSTMNT02/1411993,LCS,100 Thieves,Immortals,Gangplank,Graves,Syndra,Caitlyn,TahmKench,Sion,Sett,Zoe,Jhin,Nautilus
6594-8277,LPL,Vici Gaming,FunPlus Phoenix,Ornn,Graves,Zoe,Ashe,Braum,Gangplank,Volibear,TwistedFate,Aphelios,Nautilus
ESPORTSTMNT02/1287011,VCS,EVOS Esports,CERBERUS Esports,Mordekaiser,LeeSin,Cassiopeia,MissFortune,Blitzcrank,Ornn,JarvanIV,Orianna,Xayah,Thresh
6009-7440,LPL,Dominus Esports,eStar,Renekton,Sejuani,Kassadin,Kalista,Taric,Ornn,JarvanIV,Cassiopeia,Varus,Nautilus
5993-7402,LPL,Vici Gaming,EDward Gaming,Renekton,LeeSin,Sylas,MissFortune,Nautilus,Sett,Gragas,Irelia,Varus,Braum
ESPORTSTMNT01/1426060,LCK,Gen.G,SeolHaeOne Prince,Renekton,LeeSin,Zoe,Ezreal,Sett,Gnar,Olaf,TwistedFate,Kalista,Braum
ESPORTSTMNT02/1412064,CK,Jin Air Green Wings,OZ Gaming,Renekton,LeeSin,Syndra,Aphelios,Thresh,Gnar,Trundle,Orianna,Ezreal,Blitzcrank
ESPORTSTMNT03/1431950,LCS.A,Cloud9 Academy,CLG Academy,Sett,Gragas,Irelia,Ashe,Blitzcrank,Malphite,JarvanIV,Azir,Senna,Lux
ESPORTSTMNT02/1330955,OPL,Chiefs Esports Club,ORDER,Fiora,Sejuani,Ornn,Aphelios,Braum,Kled,Graves,Sylas,MissFortune,Nautilus
6422-8396,LDL,Oh My Dream,Royal Club,Renekton,Trundle,Rumble,Aphelios,Taric,Aatrox,Ekko,Cassiopeia,Varus,Nautilus
6204-7817,LPL,Suning,Team WE,Renekton,Trundle,Kassadin,Aphelios,Bard,Aatrox,JarvanIV,AurelionSol,Ezreal,Thresh
